Week,Year,Week_Numer,Gross,Gross_Diff,Pot_Gross,Potential_Gross_Percent,Average_Paid_Ticket,Top_Ticket,Seats_Sold,Total_Seats,Performances,Capacity,Capacity_Diff,Show_Name
2/21/10,2010,8,455335,455335,933200,0.4879,62.03,200,7340,8568,8,0.857,0,A Behanding In Spokane
1/6/08,2008,1,259101,-61485,599676,0.4321,73.9,251.5,3506,7592,8,0.462,-0.112,A Bronx Tale
3/30/08,2008,13,400926,400926,606209,0.6614,69.82,199.5,5742,6531,7,0.879,0,A Catered Affair
4/15/90,1990,15,20776,20776,0,,0,0,1944,0,7,0,0,A Change In The Heir
1/6/08,2008,1,502712,-228801,792383,0.6344,65.58,301.25,7666,8552,8,0.896,-0.105,A Chorus Line
12/30/01,2001,52,819397,386727,913747,0.8967,68.25,100,12005,12800,8,0.938,0.938,A Christmas Carol
2/18/01,2001,7,172138,172138,474553,0.3627,35.65,75,4828,7637,7,0.632,0,A Class Act
3/16/03,2003,11,130302,130302,232600,0.5602,41.91,65,3109,3700,5,0.84,0,A Day In The Death Of Joe Egg
1/4/15,2015,1,648646,8054,923128,0.7027,118.89,323,5456,6416,8,0.85,0.067,A Delicate Balance
3/30/97,1997,13,94514,94514,0,,29.34,60,3221,6108,6,0.527,0,A Doll S House
4/2/17,2017,14,85982,85982,471835,0.1822,30.03,273,2863,3875,5,0.739,0,A Doll S Housepart 2
1/6/91,1991,1,100988,-48967,0,,0,0,4655,0,8,0,0,A Few Good Men
1/2/11,2011,1,236459,92609,880750,0.2685,53.02,115,4460,8344,8,0.535,0.099,A Free Man Of Color
1/4/98,1998,1,428654,17249,623630,0.6874,46.03,70,9313,12936,8,0.72,0.034,A Funny Thing Happened On The Way To The Forum
1/3/16,2016,1,764181,225599,1180359,0.6474,95.88,327,7970,8163,9,0.976,0.118,A Gentleman S Guide To Love And Murder
1/2/94,1994,1,65319,27736,0,,0,0,3465,0,8,0,0,A Grand Night For Singing
9/26/10,2010,39,344287,344287,994752,0.3461,59.27,250,5809,8568,8,0.678,0,A Life In The Theatre
1/19/92,1992,3,157130,157130,0,,0,0,6452,0,8,0,0,A Little Hotel On The Side
10/19/86,1986,42,20000,20000,0,,0,0,2000,0,4,0,0,A Little Like Magic
9/14/08,2008,37,141040,141040,336819,0.4187,50.3,111.5,2804,3700,5,0.758,0,A Man For All Seasons
3/24/96,1996,12,252870,252870,593349,0.4262,38.03,65,6649,8688,6,0.765,0,A Midsummer Night S Dream
10/25/98,1998,43,1648,1648,31671,0.052,21.97,40,75,1004,1,0.075,0,A Mom S Life
4/9/95,1995,15,133766,133766,0,,0,0,3916,0,8,0,0,A Month In The Country
4/5/87,1987,14,35612,35612,0,,0,0,2690,0,7,0,0,A Month Of Sundays
4/1/07,2007,13,400224,400224,433545,0.9231,88.94,251.5,4500,5165,5,0.871,0,A Moon For The Misbegotten
9/18/05,2005,38,237903,237903,356124,0.668,50.34,81.25,4726,5920,8,0.798,0,A Naked Girl On The Appian Way
1/5/14,2014,1,369944,-74413,701808,0.5271,88.57,197,4177,6720,8,0.622,-0.114,A Night With Janis Joplin
3/9/14,2014,10,151179,151179,129748,1.1652,144.53,348,1046,1046,1,1,0,A Raisin In The Sun
4/5/92,1992,14,118935,118935,0,,0,0,6379,0,8,0,0,A Small Family Business
9/13/09,2009,37,767663,767663,636970,1.2052,143.35,375,5355,5355,5,1,0,A Steady Rain
4/8/12,2012,15,309488,309488,1015867,0.3047,47.11,197.5,6569,9344,8,0.703,0,A Streetcar Named Desire
8/24/08,2008,34,364207,364207,713340,0.5106,59.94,97,6076,8520,6,0.713,0,A Tale Of Two Cities
7/8/01,2001,27,179909,179909,409343,0.4395,38.76,77.5,4642,6570,6,0.707,0,A Thousand Clowns
9/29/13,2013,39,54952,54952,92158,0.5963,70.81,223,776,802,1,0.968,0,A Time To Kill
1/1/06,2006,1,295592,137159,445428,0.6636,52.95,86.25,5582,7056,7,0.791,0.301,A Touch Of The Poet
1/1/95,1995,1,209755,101920,0,,0,0,5581,0,8,0,0,A Tuna Christmas
